###Seconds (since Midnight UTC) 	 Chan 0 rate 	 Error in Chan0 	 Chan 1 rate 	 Error in Chan1 	 Chan 2 rate 	 Error in Chan2 	 Chan 3 rate 	 Error in Chan3 	 Trigger rate	Error in Triggers 	 Raw BA output 	 Temp (DegC) 	 Bus Voltage 	 #GPS satellites in view 
52779	18.59136	0.24853	18.79402	0.24988	18.55814	0.24830	18.71761	0.24937	7.61130	0.15902	1046	9.6	3.31	09
53080	18.86379	0.25034	19.33887	0.25347	18.48505	0.24781	18.87043	0.25038	7.74086	0.16037	1046	9.7	3.31	08
53381	18.39867	0.24724	19.48837	0.25445	18.38538	0.24715	18.98339	0.25113	7.66445	0.15957	1046	9.6	3.31	06
53682	18.69435	0.24921	19.59801	0.25517	18.83056	0.25012	18.97674	0.25109	7.68106	0.15975	1046	9.7	3.296	08
53983	18.87043	0.25038	19.19934	0.25256	18.45183	0.24759	19.02326	0.25140	7.64452	0.15936	1046	9.6	3.31	08
54283	18.55000	0.24866	18.96000	0.25140	18.41667	0.24777	18.66333	0.24942	7.35000	0.15652	1046	9.5	3.31	08
54584	18.61130	0.24866	19.56811	0.25497	19.05648	0.25162	18.83389	0.25014	7.82724	0.16126	1046	9.5	3.31	07
54885	18.92691	0.25076	19.21262	0.25264	18.47176	0.24773	18.45515	0.24761	7.57475	0.15864	1046	9.5	3.31	07
55186	18.48505	0.24781	18.76080	0.24966	18.36545	0.24701	18.79734	0.24990	7.42857	0.15710	1046	9.6	3.31	07
55487	18.35548	0.24694	19.26578	0.25299	18.29568	0.24654	18.99668	0.25122	7.51163	0.15797	1046	9.6	3.286	06
55788	18.46179	0.24766	19.11960	0.25203	18.16944	0.24569	18.81728	0.25003	7.64120	0.15933	1046	9.6	3.286	06
56089	18.59801	0.24857	19.06977	0.25170	18.45515	0.24761	18.41860	0.24737	7.54153	0.15829	1046	9.5	3.31	06
56389	18.65667	0.24938	19.21667	0.25309	18.18000	0.24617	18.65000	0.24933	7.62333	0.15941	1046	9.5	3.31	06
56690	18.61462	0.24868	19.33555	0.25345	18.53821	0.24817	19.23920	0.25282	7.81728	0.16116	1046	9.6	3.31	05
56991	18.52824	0.24810	19.07641	0.25175	18.60133	0.24859	18.96013	0.25098	7.81728	0.16116	1046	9.5	3.296	06
57292	18.34884	0.24690	19.01993	0.25137	18.39203	0.24719	18.59801	0.24857	7.56811	0.15857	1046	9.6	3.31	06
57593	18.68106	0.24913	19.20930	0.25262	18.27575	0.24641	18.52824	0.24810	7.64452	0.15936	1045	9.6	3.31	06
57894	18.40532	0.24728	19.17276	0.25238	18.45183	0.24759	18.64784	0.24890	7.60133	0.15891	1046	9.5	3.31	05
58195	18.49834	0.24790	19.19934	0.25256	18.76412	0.24968	18.83389	0.25014	7.44518	0.15727	1045	9.5	3.31	06
58495	18.72333	0.24982	19.15000	0.25265	18.61000	0.24906	19.20333	0.25300	7.94333	0.16272	1046	9.6	3.31	06
58796	18.54817	0.24824	19.00997	0.25131	18.46844	0.24770	18.54153	0.24819	7.38870	0.15668	1046	9.6	3.291	07
59097	19.44518	0.25417	19.66445	0.25560	19.22924	0.25275	19.37209	0.25369	8.07973	0.16384	1046	9.5	3.31	09
59398	19.05980	0.25164	19.61794	0.25530	18.62126	0.24873	18.94020	0.25085	7.98007	0.16282	1046	9.6	3.305	07
